,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - November, 2023",,
Market,"Arrivals November, 2023 (Metric Tonnes)","Arrivals October, 2023 (Metric Tonnes)","Arrivals November, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,550.0,221.0,189.0,148.9%,191.0%
Ahmednagar APMC,116.0,75.0,103.0,54.7%,12.6%
Akkalkot APMC,1.0,-,-,-,-
Akola APMC,108.0,188.0,167.0,-42.5%,-35.3%
Akot APMC,5.0,-,-,-,-
Amalner APMC,79.0,190.0,99.0,-58.4%,-20.2%
Amarawati APMC,62.0,193.0,86.0,-67.9%,-27.9%
Ambad (Vadigodri) APMC,58.0,68.0,60.0,-14.7%,-3.3%
Ambejaogai APMC,-,-,1.0,-,-
Anajngaon APMC,32.0,61.0,14.0,-47.5%,128.6%
Ashti(Jalna) APMC,1.0,1.0,2.0,-,-50.0%
Ashti(Karanja) APMC,-,-,4.0,-,-
Aurad Shahajani APMC,2.0,1.0,-,100.0%,-
Ausa APMC,-,8.0,6.0,-,-
BSK Krishi Bazar Private Ltd APMC,0.5,1.7,-,-70.6%,-
Balapur APMC,-,-,9.0,-,-
Baramati APMC,292.0,406.0,149.0,-28.1%,96.0%
Barshi APMC,19.0,23.0,15.0,-17.4%,26.7%
Barshi(Vairag) APMC,1.0,10.0,6.0,-90.0%,-83.3%
Beed APMC,23.0,22.0,54.0,4.5%,-57.4%
Bhandara APMC,3.0,5.0,-,-40.0%,-
Bhokar APMC,3.0,12.0,3.0,-75.0%,-
Bhokardan APMC,13.0,30.0,46.0,-56.7%,-71.7%
Bhokardan(Pimpalgaon Renu) APMC,1.0,20.0,-,-95.0%,-
Bhusaval APMC,5.0,-,-,-,-
Buldhana(Dhad) APMC,167.0,12.0,-,1291.7%,-
Chalisgaon APMC,30.0,47.0,43.0,-36.2%,-30.2%
Chandur Bazar APMC,33.0,41.0,28.0,-19.5%,17.9%
Chandur Railway APMC,-,1.0,-,-,-
Chattrapati Sambhajinagar APMC,44.0,89.0,82.0,-50.6%,-46.3%
Chikali APMC,60.0,81.0,65.0,-25.9%,-7.7%
Chopada APMC,14.0,25.0,2.0,-44.0%,600.0%
Daryapur APMC,-,15.0,-,-,-
Deoulgaon Raja APMC,16.0,17.0,27.0,-5.9%,-40.7%
Devala APMC,1.0,5.0,5.0,-80.0%,-80.0%
Dhamngaon-Railway APMC,-,6.0,9.0,-,-
Dharangaon APMC,-,2.0,1.0,-,-
Dhule APMC,182.0,164.0,208.0,11.0%,-12.5%
Digras APMC,17.0,108.0,8.0,-84.3%,112.5%
Dondaicha APMC,197.0,290.0,216.0,-32.1%,-8.8%
Dondaicha(Sindhkheda) APMC,3.0,5.0,-,-40.0%,-
Dound APMC,43.0,80.0,27.0,-46.2%,59.3%
Dudhani APMC,2.0,-,-,-,-
Fulmbri APMC,59.0,258.0,-,-77.1%,-
Gangakhed APMC,-,-,58.0,-,-
Gangapur APMC,41.0,49.0,58.0,-16.3%,-29.3%
Gevrai APMC,107.0,266.0,77.0,-59.8%,39.0%
Ghansawangi APMC,-,6.0,-,-,-
