,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2021",,
Market,"Arrivals December, 2021 (Metric Tonnes)","Arrivals November, 2021 (Metric Tonnes)","Arrivals December, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,262.0,115.0,-,127.8%,-
Ahmednagar APMC,581.0,664.0,71.0,-12.5%,718.3%
Ahmedpur APMC,-,-,27.0,-,-
Akhadabalapur APMC,3.0,4.0,18.0,-25.0%,-83.3%
Akluj APMC,-,-,15.0,-,-
Akola APMC,352.0,277.0,157.0,27.1%,124.2%
Amalner APMC,1675.0,329.0,205.0,409.1%,717.1%
Amarawati APMC,470.0,248.0,291.0,89.5%,61.5%
Ambad (Vadigodri) APMC,79.0,59.0,53.0,33.9%,49.1%
Anajngaon APMC,26.0,30.0,23.0,-13.3%,13.0%
Ashti(Jalna) APMC,14.0,18.0,-,-22.2%,-
Aurad Shahajani APMC,7.0,6.0,-,16.7%,-
Ausa APMC,10.0,3.0,-,233.3%,-
Balapur APMC,49.0,60.0,63.0,-18.3%,-22.2%
Baramati APMC,610.0,614.0,122.0,-0.7%,400.0%
Barshi APMC,45.0,26.0,3.0,73.1%,1400.0%
Barshi(Vairag) APMC,16.0,10.0,1.0,60.0%,1500.0%
Beed APMC,190.0,93.0,57.0,104.3%,233.3%
Bhandara APMC,12.0,8.0,14.0,50.0%,-14.3%
Bhivandi APMC,-,4.0,-,-,-
Bhiwapur APMC,-,-,1.0,-,-
Bhokar APMC,7.0,11.0,24.0,-36.4%,-70.8%
Bhokardan APMC,29.0,26.0,104.0,11.5%,-72.1%
Bhokardan(Pimpalgaon Renu) APMC,15.0,36.0,86.0,-58.3%,-82.6%
Bori APMC,15.0,29.0,46.0,-48.3%,-67.4%
Buldhana(Dhad) APMC,-,-,13.0,-,-
Chakur APMC,-,1.0,1.0,-,-
Chalisgaon APMC,115.0,109.0,164.0,5.5%,-29.9%
Chandur Bazar APMC,97.0,155.0,228.0,-37.4%,-57.5%
Chattrapati Sambhajinagar APMC,192.0,257.0,208.0,-25.3%,-7.7%
Chikali APMC,182.0,105.0,240.0,73.3%,-24.2%
Chopada APMC,29.0,14.0,34.0,107.1%,-14.7%
Deoulgaon Raja APMC,31.0,61.0,45.0,-49.2%,-31.1%
Devala APMC,23.0,19.0,32.0,21.1%,-28.1%
Dharangaon APMC,4.0,2.0,41.0,100.0%,-90.2%
Dhule APMC,203.0,337.0,569.0,-39.8%,-64.3%
Digras APMC,-,-,5.0,-,-
Dondaicha APMC,412.0,681.0,848.0,-39.5%,-51.4%
