Market,"Arrivals February, 2021 (Metric Tonnes)","Arrivals January, 2021 (Metric Tonnes)","Arrivals February, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,238.0478048629684,142.35079859376924,69.0,-,-
Ahmednagar APMC,83.0,56.0,49.0,48.2%,69.4%
Ahmedpur APMC,28.29914702998421,8.0,9.0,-,-
Akhadabalapur APMC,26.0,12.0,7.0,116.7%,271.4%
Akluj APMC,468.0,10.0,209.84785308834137,4580.0%,-
Akola APMC,307.0,131.0,79.0,134.3%,288.6%
Akot APMC,6.0,24.0,6.0,-75.0%,-
Amalner APMC,1738.0,322.0,103.0,439.8%,1587.4%
Amarawati APMC,107.0,164.0,69.0,-34.8%,55.1%
Ambad (Vadigodri) APMC,81.2738035857743,2.0,59.0,-,-
Anajngaon APMC,18.0,20.0,14.0,-10.0%,28.6%
Ashti(Karanja) APMC,30.0,12.19467406501721,9.489846976321875,-,-
Aurad Shahajani APMC,27.25444112651304,1.0,13.829057155345094,-,-
Balapur APMC,25.0,52.0,16.0,-51.9%,56.2%
Baramati APMC,445.0,310.0,102.0,43.5%,336.3%
Barshi APMC,2.0,6.0,48.0,-66.7%,-95.8%
Beed APMC,47.0,35.0,14.0,34.3%,235.7%
Bhandara APMC,3.0,8.0,3.0,-62.5%,-
Bhivandi APMC,109.59305103246487,66.85653230514679,18.0,-,-
Bhokar APMC,11.0,5.0,8.0,120.0%,37.5%
Bhokardan APMC,86.0,158.0,42.0,-45.6%,104.8%
Bhokardan(Pimpalgaon Renu) APMC,66.0,74.0,15.0,-10.8%,340.0%
Bori APMC,24.0,27.0,4.1879182067047145,-11.1%,-
Buldhana(Dhad) APMC,23.07108988230796,5.0,7.0,-,-
Chakur APMC,1.0,-5.309755325676064,-0.6743484963440838,-,-
Chalisgaon APMC,126.0,105.0,78.0,20.0%,61.5%
Chandur Bazar APMC,60.0,71.0,121.0,-15.5%,-50.4%
Chattrapati Sambhajinagar APMC,231.0,131.0,59.0,76.3%,291.5%
Chikali APMC,381.0,165.0,158.0,130.9%,141.1%
Chopada APMC,369.0,15.0,19.0,2360.0%,1842.1%
Daryapur APMC,76.84968240900318,47.612895800203795,5.0,-,-
Deoulgaon Raja APMC,44.0,37.0,18.0,18.9%,144.4%
Devala APMC,41.0,25.0,2.0,64.0%,1950.0%
Dhamngaon-Railway APMC,190.19211225944747,114.2254837019295,50.0,-,-
Dharangaon APMC,96.0,14.0,39.336789623046656,585.7%,-
Dhule APMC,2184.0,514.0,180.0,324.9%,1113.3%
Digras APMC,1.0,6.0,7.0,-83.3%,-85.7%
Dindori APMC,112.11177169580807,68.33681203629625,19.0,-,-
Dondaicha APMC,2399.0,579.0,262.0,314.3%,815.6%
Dondaicha(Sindhkheda) APMC,19.0,9.0,1.0,111.1%,1800.0%
Dound APMC,85.0,100.0,153.0,-15.0%,-44.4%
Dudhani APMC,69.29352041897357,43.17205660675542,2.0,-,-
Gangakhed APMC,43.0,32.0,322.0,34.4%,-86.7%
Gangapur APMC,207.0,85.0,54.0,143.5%,283.3%
Gevrai APMC,200.0,197.0,117.0,1.5%,70.9%
Ghansawangi APMC,1.0,2.0,12.0,-50.0%,-91.7%
Hadgaon APMC,442.06417859376813,262.2534568168756,150.0,-,-
Hadgaon(Tamsa) APMC,371.54000002015835,220.8056243446906,122.0,-,-
Hinganghat APMC,116.0,100.0,104.0,16.0%,11.5%
Hingoli APMC,74.0,87.0,52.0,-14.9%,42.3%
Hingoli(Kanegoan Naka) APMC,63.0,32.113507509599216,21.05600044521762,-,-
Indapur APMC,32.01407851220154,4.0,15.430281185765615,-,-
Indapur(Bhigwan) APMC,74.07764417573166,30.0,30.0,-,-
Indapur(Nimgaon Ketki) APMC,71.81224108231675,44.652336337904856,3.0,-,-
Jafrabad APMC,19.0,51.0,-2.3086183003289076,-62.8%,-
Jalana APMC,1134.0,1013.0,230.0,11.9%,393.0%
Jalgaon APMC,2.0,3.0,5.0,-33.3%,-60.0%
Jalgaon Jamod(Aasalgaon) APMC,122.0,4.0,1.0,2950.0%,12100.0%
Jalgaon(Masawat) APMC,67.0,41.854658460824346,1.0,-,6600.0%
Jamkhed APMC,17.0,23.0,9.0,-26.1%,88.9%
Jamner APMC,16.0,3.744259876406666,4.582993989517618,-,-
Jawala-Bajar APMC,25.0,23.0,5.3467534593202375,8.7%,-
Jintur APMC,1.0,1.0,7.0,-,-85.7%
Kada APMC,74.33096174565996,46.13261606905433,4.0,-,-
Kaij APMC,32.352560273009665,11.0,10.0,-,-
Kalamb (Dharashiv) APMC,48.0,61.0,15.0,-21.3%,220.0%
Kalamnuri APMC,84.40584439903282,52.05373499365219,8.0,-,-
Kalvan APMC,8.0,6.0,8.0,33.3%,-
Kandhar APMC,10.0,3.0,2.0114295492075964,233.3%,-
Kannad APMC,246.0,120.0,1.0,105.0%,24500.0%
Karanja APMC,2195.0,469.0,419.0,368.0%,423.9%
Karjat(Raigad) APMC,55.0,40.0,19.0,37.5%,189.5%
Karmala APMC,9.0,3.0,8.0,200.0%,12.5%
Katol APMC,66.0,25.0,38.0,164.0%,73.7%
Khamgaon APMC,505.0,429.0,202.0,17.7%,150.0%
Kille Dharur APMC,16.0,15.0,3.0,6.7%,433.3%
Kopargaon APMC,361.0,233.0,138.0,54.9%,161.6%
Kurdwadi(Modnimb) APMC,11.0,2.0,7.0,450.0%,57.1%
Lakhandur APMC,69.29352041897357,43.17205660675542,2.0,-,-
Lasalgaon APMC,760.0,347.0,190.0,119.0%,300.0%
Lasalgaon(Niphad) APMC,150.0,113.0,119.0,32.7%,26.1%
Lasalgaon(Vinchur) APMC,321.0,111.0,125.01143065550377,189.2%,-
Lasur Station APMC,1067.0,402.0,122.0,165.4%,774.6%
Latur APMC,2405.0,1996.0,957.0,20.5%,151.3%
Latur(Murud) APMC,2.0,27.0,-5.854531983804563,-92.6%,-
Loha APMC,9.0,8.0,15.0,12.5%,-40.0%
Lonand APMC,76.84968240900318,47.612895800203795,5.0,-,-
Lonar APMC,234.0,207.0,14.0,13.0%,1571.4%
Majalgaon APMC,62.0,46.0,11.0,34.8%,463.6%
Malegaon APMC,447.0,360.0,48.0,24.2%,831.2%
Malegaon(Vashim) APMC,675.0,401.5173277545745,235.55557386837512,-,-
Malkapur APMC,337.0,263.0,117.0,28.1%,188.0%
Mandhal APMC,1.0,-5.309755325676064,-0.6743484963440838,-,-
Mangal Wedha APMC,5.0,3.0,7.0,66.7%,-28.6%
Mangrulpeer APMC,130.0,12.0,82.0,983.3%,58.5%
Manmad APMC,246.0,124.0,35.0,98.4%,602.9%
Manora APMC,4.0,-6.443205320907312,9.0,-,-55.6%
Mantha APMC,23.0,34.0,2.0,-32.4%,1050.0%
Manwat APMC,84.40584439903282,52.05373499365219,8.0,-,-
Mehekar APMC,223.0,103.0,75.0,116.5%,197.3%
Morshi APMC,75.0,62.0,50.0,21.0%,50.0%
Mudkhed APMC,1.0,-5.309755325676064,-0.6743484963440838,-,-
Mumbai APMC,10479.0,9640.0,2280.0,8.7%,359.6%
Murtizapur APMC,198.0,23.0,9.0,760.9%,2100.0%
Murum APMC,2.0,2.0,1.0,-,100.0%
Nagpur APMC,924.0,878.0,141.0,5.2%,555.3%
Nampur APMC,17.0,13.0,3.4508539999341608,30.8%,-
Nanded APMC,25.0,21.0,48.0,19.1%,-47.9%
Nandgaon APMC,255.0,166.0,52.0,53.6%,390.4%
Nandgaon Khandeshwar APMC,1.0,5.0,36.0,-80.0%,-97.2%
Nandura APMC,39.0,35.0,6.0,11.4%,550.0%
Nandurbar APMC,1799.0,245.0,682.0,634.3%,163.8%
Navapur APMC,179.11781808309163,55.0,99.0,-,-
Newasa APMC,6.0,11.0,9.0,-45.5%,-33.3%
Nilanga APMC,5.0,-2.8953512717873364,0.7276094998857032,-,-
Pachora APMC,208.0,124.0,17.0,67.7%,1123.5%
Paithan APMC,102.0,28.0,82.0,264.3%,24.4%
Palghar APMC,97.0,111.0,63.0,-12.6%,54.0%
Pandharpur APMC,16.668388829980927,2.0,4.0,-,-
Parali Vaijyanath APMC,16.238280579595795,4.0,2.0,-,-
Paranda APMC,10.0,0.28656762314135076,2.0,-,400.0%
Parbhani APMC,137.0,185.0,28.02636454896725,-25.9%,-
Partur APMC,20.0,16.0,15.0,25.0%,33.3%
Pathardi APMC,22.0,30.0,24.0,-26.7%,-8.3%
Pathari APMC,5.0,4.0,13.0,25.0%,-61.5%
Patur APMC,16.0,42.0,15.0,-61.9%,6.7%
Phaltan APMC,34.0,121.0,-7.752797439666393,-71.9%,-
Pulgaon APMC,3.0,-4.1025532987317,0.026630501770809722,-,-
Pune APMC,125.0,115.0,25.0,8.7%,400.0%
Rahata APMC,46.0,36.0,24.0,27.8%,91.7%
Rahuri APMC,21.0,30.0,44.0,-30.0%,-52.3%
Rahuri(Vambori) APMC,58.0,56.0,66.0,3.6%,-12.1%
Ramtek APMC,22.0,52.0,-1.1147833353393732,-57.7%,-
