,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2023",,
Market,"Prices July, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2285.51,2443.56,2132.11,-6.5%,7.2%
Ahmednagar APMC,2257.27,2326.94,2178.39,-3.0%,3.6%
Ahmedpur APMC,2493.47,2549.15,-,-2.2%,-
Akhadabalapur APMC,2335.71,-,1775.0,-,31.6%
Akkalkot APMC,2667.1,2300.0,2000.0,16.0%,33.4%
Akola APMC,2338.25,2405.4,2186.11,-2.8%,7.0%
Akot APMC,2180.57,-,2250.0,-,-3.1%
Amalner APMC,2403.5,2540.66,2238.46,-5.4%,7.4%
Amarawati APMC,2495.19,2406.28,2193.97,3.7%,13.7%
Ambad (Vadigodri) APMC,2409.62,2180.08,-,10.5%,-
Ambejaogai APMC,-,-,2850.0,-,-
Anajngaon APMC,2114.38,2143.78,2056.25,-1.4%,2.8%
Ashti APMC,-,2250.0,-,-,-
Ashti(Karanja) APMC,2206.82,2176.13,2068.57,1.4%,6.7%
Aurad Shahajani APMC,-,2468.17,1925.0,-,-
Ausa APMC,2590.6,2718.79,2426.0,-4.7%,6.8%
BSK Krishi Bazar Private Ltd APMC,2070.26,-,-,-,-
Babhulgaon APMC,2250.0,2202.94,-,2.1%,-
Balapur APMC,2242.74,2142.88,1936.67,4.7%,15.8%
Baramati APMC,2326.03,2271.3,2267.07,2.4%,2.6%
Barshi APMC,2630.56,2546.33,2436.67,3.3%,8.0%
Barshi(Vairag) APMC,2318.88,2323.49,2300.0,-0.2%,0.8%
Beed APMC,2379.12,2496.26,2278.0,-4.7%,4.4%
Bhandara APMC,2110.0,2161.15,2650.0,-2.4%,-20.4%
Bhiwapur APMC,-,-,2050.0,-,-
Bhokar APMC,2203.0,2080.53,1904.43,5.9%,15.7%
Bhokardan APMC,2102.96,2102.46,2026.92,-,3.8%
Bhokardan(Pimpalgaon Renu) APMC,2099.09,2067.86,2000.0,1.5%,5.0%
Bori APMC,-,-,1812.67,-,-
Chakur APMC,2159.5,2109.0,-,2.4%,-
Chalisgaon APMC,2287.34,2220.12,2059.93,3.0%,11.0%
Chandur Bazar APMC,2270.41,2349.08,2051.54,-3.4%,10.7%
Chandur Railway APMC,2202.0,-,-,-,-
Chattrapati Sambhajinagar APMC,2327.27,2503.32,2225.16,-7.0%,4.6%
Chikali APMC,2186.44,2113.43,1935.74,3.5%,12.9%
Chopada APMC,2437.17,2442.0,2228.97,-0.2%,9.3%
Deoulgaon Raja APMC,2300.69,2489.08,2093.75,-7.6%,9.9%
Devala APMC,-,2250.0,2125.71,-,-
Dhamngaon-Railway APMC,2277.71,2226.55,2016.73,2.3%,12.9%
Dharangaon APMC,2249.67,2184.65,2251.0,3.0%,-0.1%
Dharni APMC,1915.64,1950.0,-,-1.8%,-
Dhule APMC,2350.02,2326.28,2268.37,1.0%,3.6%
Digras APMC,2530.45,-,2182.9,-,15.9%
Dondaicha APMC,2372.24,2392.66,2173.81,-0.8%,9.1%
Dondaicha(Sindhkheda) APMC,2233.14,2237.89,-,-0.2%,-
Dound APMC,2328.34,2314.89,2170.0,0.6%,7.3%
Dudhani APMC,2675.71,3066.67,2550.0,-12.8%,4.9%
Gangakhed APMC,2200.0,2309.09,2186.84,-4.7%,0.6%
Gangapur APMC,2332.78,2286.8,2282.74,2.0%,2.2%
Gevrai APMC,2410.5,2453.09,2326.76,-1.7%,3.6%
Ghansawangi APMC,-,2328.57,2237.5,-,-
Himalyatnagar APMC,-,-,1800.0,-,-
Hinganghat APMC,2216.6,2153.42,2092.89,2.9%,5.9%
Hingoli APMC,2379.71,2587.3,2137.66,-8.0%,11.3%
Hingoli(Kanegoan Naka) APMC,2046.43,2000.0,1895.62,2.3%,8.0%
Indapur(Bhigwan) APMC,-,2300.0,2382.44,-,-
Indapur(Nimgaon Ketki) APMC,2531.0,2251.0,2330.67,12.4%,8.6%
Jai Gajanan Krishi Bazar APMC,2274.32,2266.0,-,0.4%,-
Jalana APMC,2324.77,2312.59,2298.7,0.5%,1.1%
Jalgaon APMC,2326.89,2230.45,2108.54,4.3%,10.4%
Jalgaon(Masawat) APMC,2600.0,2600.0,-,-,-
Jamkhed APMC,2229.17,2277.97,2013.02,-2.1%,10.7%
Jawala-Bajar APMC,-,-,1800.0,-,-
Jintur APMC,2800.0,2665.0,2333.33,5.1%,20.0%
Kada APMC,2357.14,2281.72,2183.33,3.3%,8.0%
Kaij APMC,2605.91,2624.8,2388.3,-0.7%,9.1%
Kalamb (Dharashiv) APMC,2394.96,2378.7,2483.5,0.7%,-3.6%
Kalvan APMC,2225.75,2311.86,1875.0,-3.7%,18.7%
Kandhar APMC,-,1800.0,1821.74,-,-
Kannad APMC,2376.89,2440.02,2218.57,-2.6%,7.1%
Karanja APMC,2374.27,2340.7,2223.05,1.4%,6.8%
Karjat(Raigad) APMC,2365.46,2318.22,2025.0,2.0%,16.8%
Karmala APMC,2271.6,2332.85,2283.33,-2.6%,-0.5%
Katol APMC,2254.94,2222.54,2140.03,1.5%,5.4%
Khamgaon APMC,2231.44,2139.42,1994.51,4.3%,11.9%
Kille Dharur APMC,2935.0,2850.0,2417.6,3.0%,21.4%
Kisan Market Yard APMC,2322.32,-,-,-,-
Kopargaon APMC,2323.89,2292.21,2273.01,1.4%,2.2%
Kurdwadi APMC,2400.0,2750.0,-,-12.7%,-
Kurdwadi(Modnimb) APMC,2400.0,2655.0,2507.75,-9.6%,-4.3%
Lakhandur APMC,-,-,1865.0,-,-
Lasalgaon APMC,2452.17,2380.96,2298.87,3.0%,6.7%
Lasalgaon(Niphad) APMC,2320.42,2291.7,2191.18,1.2%,5.9%
Lasalgaon(Vinchur) APMC,2249.06,2248.34,2217.19,-,1.4%
Lasur Station APMC,2375.95,2271.91,2252.32,4.6%,5.5%
Latur APMC,2797.17,-,2715.64,-,3.0%
Loha APMC,2364.64,2478.54,2525.0,-4.6%,-6.3%
