,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2023",,
Market,"Arrivals July, 2023 (Metric Tonnes)","Arrivals June, 2023 (Metric Tonnes)","Arrivals July, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,195.0,1223.0,779.0,-84.1%,-75.0%
Ahmednagar APMC,196.0,157.0,331.0,24.8%,-40.8%
Ahmedpur APMC,17.0,47.0,-,-63.8%,-
Akhadabalapur APMC,14.0,-,6.0,-,133.3%
Akkalkot APMC,10.0,1.0,13.0,900.0%,-23.1%
Akola APMC,203.0,652.0,155.0,-68.9%,31.0%
Akot APMC,35.0,-,6.0,-,483.3%
Amalner APMC,213.0,186.0,312.0,14.5%,-31.7%
Amarawati APMC,590.0,946.0,936.0,-37.6%,-37.0%
Ambad (Vadigodri) APMC,16.0,49.0,-,-67.3%,-
Ambejaogai APMC,-,-,1.0,-,-
Anajngaon APMC,73.0,225.0,16.0,-67.6%,356.2%
Ashti APMC,-,2.0,-,-,-
Ashti(Karanja) APMC,11.0,102.0,35.0,-89.2%,-68.6%
Aurad Shahajani APMC,-,6.0,1.0,-,-
Ausa APMC,15.0,24.0,1.0,-37.5%,1400.0%
BSK Krishi Bazar Private Ltd APMC,3.9,-,-,-,-
Babhulgaon APMC,5.0,17.0,-,-70.6%,-
Balapur APMC,31.0,59.0,15.0,-47.5%,106.7%
Baramati APMC,318.0,427.0,189.0,-25.5%,68.2%
Barshi APMC,18.0,75.0,15.0,-76.0%,20.0%
Barshi(Vairag) APMC,16.0,49.0,10.0,-67.3%,60.0%
Beed APMC,8.0,127.0,40.0,-93.7%,-80.0%
Bhandara APMC,9.0,13.0,4.0,-30.8%,125.0%
Bhiwapur APMC,-,-,12.0,-,-
Bhokar APMC,9.0,17.0,7.0,-47.1%,28.6%
Bhokardan APMC,27.0,57.0,39.0,-52.6%,-30.8%
Bhokardan(Pimpalgaon Renu) APMC,11.0,14.0,4.0,-21.4%,175.0%
Bori APMC,-,-,15.0,-,-
Chakur APMC,2.0,5.0,-,-60.0%,-
Chalisgaon APMC,59.0,34.0,71.0,73.5%,-16.9%
Chandur Bazar APMC,54.0,211.0,101.0,-74.4%,-46.5%
Chandur Railway APMC,5.0,-,-,-,-
Chattrapati Sambhajinagar APMC,99.0,119.0,114.0,-16.8%,-13.2%
Chikali APMC,73.0,132.0,149.0,-44.7%,-51.0%
Chopada APMC,6.0,55.0,30.0,-89.1%,-80.0%
Deoulgaon Raja APMC,29.0,71.0,16.0,-59.1%,81.2%
Devala APMC,-,6.0,7.0,-,-
Dhamngaon-Railway APMC,142.0,470.0,55.0,-69.8%,158.2%
Dharangaon APMC,3.0,31.0,22.0,-90.3%,-86.4%
Dharni APMC,163.0,15.0,-,986.7%,-
Dhule APMC,324.0,354.0,211.0,-8.5%,53.5%
Digras APMC,11.0,-,31.0,-,-64.5%
Dondaicha APMC,407.0,729.0,393.0,-44.2%,3.6%
Dondaicha(Sindhkheda) APMC,7.0,9.0,-,-22.2%,-
Dound APMC,67.0,47.0,48.0,42.5%,39.6%
Dudhani APMC,7.0,6.0,1.0,16.7%,600.0%
Gangakhed APMC,1.0,11.0,38.0,-90.9%,-97.4%
Gangapur APMC,51.0,83.0,35.0,-38.5%,45.7%
