,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2023",,
Market,"Arrivals April, 2023 (Metric Tonnes)","Arrivals March, 2023 (Metric Tonnes)","Arrivals April, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,-,1511.0,-,-,-
Ahmednagar APMC,262.0,494.0,433.0,-47.0%,-39.5%
Ahmedpur APMC,105.0,131.0,-,-19.9%,-
Akhadabalapur APMC,14.0,22.0,19.0,-36.4%,-26.3%
Akkalkot APMC,1.0,-,-,-,-
Akkalkuwa APMC,595.0,244.0,-,143.8%,-
Akola APMC,1061.0,820.0,936.0,29.4%,13.3%
Amalner APMC,2748.0,4101.0,3125.0,-33.0%,-12.1%
Amarawati APMC,3814.0,1846.0,2335.0,106.6%,63.3%
Ambad (Vadigodri) APMC,32.0,41.0,19.0,-21.9%,68.4%
Ambejaogai APMC,-,-,1.0,-,-
Anajngaon APMC,150.0,10.0,99.0,1400.0%,51.5%
Ashti APMC,-,7.0,75.0,-,-
Ashti(Jalna) APMC,-,-,4.0,-,-
Ashti(Karanja) APMC,232.0,552.0,620.0,-58.0%,-62.6%
Aurad Shahajani APMC,10.0,5.0,7.0,100.0%,42.9%
Ausa APMC,27.0,-,30.0,-,-10.0%
Babhulgaon APMC,37.0,-,54.0,-,-31.5%
Balapur APMC,62.0,34.0,54.0,82.3%,14.8%
Baramati APMC,1058.0,670.0,759.0,57.9%,39.4%
Barshi APMC,64.0,65.0,123.0,-1.5%,-48.0%
Barshi(Vairag) APMC,85.0,65.0,36.0,30.8%,136.1%
Basmat APMC,-,10.0,-,-,-
Beed APMC,110.0,200.0,128.0,-45.0%,-14.1%
Bhandara APMC,34.0,11.0,85.0,209.1%,-60.0%
Bhiwapur APMC,-,-,24.0,-,-
Bhokar APMC,21.0,52.0,53.0,-59.6%,-60.4%
Bhokardan APMC,60.0,52.0,59.0,15.4%,1.7%
Bhokardan(Pimpalgaon Renu) APMC,12.0,32.0,44.0,-62.5%,-72.7%
Bhusaval APMC,-,-,5.0,-,-
Bori APMC,-,-,1.0,-,-
Buldhana(Dhad) APMC,18.0,168.0,-,-89.3%,-
Chakur APMC,18.0,23.0,3.0,-21.7%,500.0%
Chalisgaon APMC,441.0,195.0,138.0,126.2%,219.6%
Chandur Bazar APMC,289.0,97.0,611.0,197.9%,-52.7%
Chandur Railway APMC,-,-,12.0,-,-
Chattrapati Sambhajinagar APMC,208.0,230.0,557.0,-9.6%,-62.7%
Chikali APMC,456.0,444.0,307.0,2.7%,48.5%
Chopada APMC,242.0,675.0,220.0,-64.2%,10.0%
Deoulgaon Raja APMC,168.0,99.0,99.0,69.7%,69.7%
Devala APMC,7.0,9.0,29.0,-22.2%,-75.9%
Dhamngaon-Railway APMC,320.0,1000.0,-,-68.0%,-
Dharangaon APMC,108.0,261.0,172.0,-58.6%,-37.2%
Dhule APMC,765.0,3493.0,304.0,-78.1%,151.6%
Digras APMC,-,63.0,25.0,-,-
Dondaicha APMC,3505.0,5849.0,3776.0,-40.1%,-7.2%
Dondaicha(Sindhkheda) APMC,85.0,159.0,-,-46.5%,-
Dound APMC,293.0,220.0,113.0,33.2%,159.3%
Dudhani APMC,5.0,-,-,-,-
Gangakhed APMC,29.0,28.0,127.0,3.6%,-77.2%
Gangapur APMC,151.0,29.0,28.0,420.7%,439.3%
Gevrai APMC,365.0,502.0,218.0,-27.3%,67.4%
Ghansawangi APMC,16.0,50.0,34.0,-68.0%,-52.9%
Hinganghat APMC,195.0,500.0,1409.0,-61.0%,-86.2%
Hingoli APMC,184.0,269.0,47.0,-31.6%,291.5%
Hingoli(Kanegoan Naka) APMC,195.0,296.0,295.0,-34.1%,-33.9%
Indapur APMC,-,100.0,75.0,-,-
Indapur(Bhigwan) APMC,-,76.0,24.0,-,-
Indapur(Nimgaon Ketki) APMC,2.0,5.0,2.0,-60.0%,-
Jafrabad APMC,-,26.0,72.0,-,-
Jalana APMC,1218.0,1192.0,2218.0,2.2%,-45.1%
Jalgaon APMC,30.0,35.0,12.0,-14.3%,150.0%
Jalgaon(Masawat) APMC,21.0,143.0,39.0,-85.3%,-46.1%
Jamkhed APMC,87.0,76.0,161.0,14.5%,-46.0%
Jawala-Bajar APMC,-,-,41.0,-,-
Jintur APMC,2.0,3.0,2.0,-33.3%,-
Kada APMC,-,91.0,29.0,-,-
