,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2021",,
Market,"Arrivals September, 2021 (Metric Tonnes)","Arrivals August, 2021 (Metric Tonnes)","Arrivals September, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,67.0,415.0,-,-83.9%,-
Ahmednagar APMC,431.0,551.0,5.0,-21.8%,8520.0%
Ahmedpur APMC,3.0,4.0,20.0,-25.0%,-85.0%
Akhadabalapur APMC,15.0,10.0,3.0,50.0%,400.0%
Akluj APMC,-,-,9.0,-,-
Akola APMC,424.0,372.0,388.0,14.0%,9.3%
Akot APMC,66.0,-,263.0,-,-74.9%
Amalner APMC,469.0,264.0,366.0,77.7%,28.1%
Amarawati APMC,212.0,260.0,510.0,-18.5%,-58.4%
Ambad (Vadigodri) APMC,33.0,158.0,105.0,-79.1%,-68.6%
Anajngaon APMC,23.0,42.0,31.0,-45.2%,-25.8%
Aurad Shahajani APMC,12.0,6.0,3.0,100.0%,300.0%
Balapur APMC,83.0,73.0,89.0,13.7%,-6.7%
Baramati APMC,733.0,665.0,134.0,10.2%,447.0%
Barshi APMC,6.0,11.0,7.0,-45.5%,-14.3%
Barshi(Vairag) APMC,8.0,5.0,-,60.0%,-
Beed APMC,142.0,131.0,45.0,8.4%,215.6%
Bhandara APMC,16.0,16.0,24.0,-,-33.3%
Bhiwapur APMC,-,1.0,-,-,-
Bhokar APMC,15.0,27.0,23.0,-44.4%,-34.8%
Bhokardan APMC,44.0,45.0,133.0,-2.2%,-66.9%
Bhokardan(Pimpalgaon Renu) APMC,10.0,19.0,49.0,-47.4%,-79.6%
Bhusaval APMC,-,-,3.0,-,-
Bori APMC,95.0,58.0,12.0,63.8%,691.7%
Buldhana APMC,-,-,10.0,-,-
Buldhana(Dhad) APMC,-,-,6.0,-,-
Chakur APMC,1.0,3.0,-,-66.7%,-
Chalisgaon APMC,189.0,116.0,66.0,62.9%,186.4%
Chandur Bazar APMC,276.0,284.0,285.0,-2.8%,-3.2%
Chattrapati Sambhajinagar APMC,301.0,231.0,209.0,30.3%,44.0%
Chikali APMC,121.0,110.0,384.0,10.0%,-68.5%
Chopada APMC,30.0,20.0,47.0,50.0%,-36.2%
Daryapur APMC,-,-,8.0,-,-
Deoulgaon Raja APMC,55.0,37.0,37.0,48.6%,48.6%
Devala APMC,32.0,18.0,15.0,77.8%,113.3%
Dharangaon APMC,16.0,4.0,22.0,300.0%,-27.3%
Dhule APMC,338.0,275.0,603.0,22.9%,-44.0%
Digras APMC,1.0,3.0,8.0,-66.7%,-87.5%
Dondaicha APMC,738.0,534.0,1263.0,38.2%,-41.6%
Dondaicha(Sindhkheda) APMC,-,1.0,24.0,-,-
Dound APMC,114.0,103.0,130.0,10.7%,-12.3%
Dudhani APMC,2.0,2.0,-,-,-
Gangakhed APMC,45.0,37.0,31.0,21.6%,45.2%
Gangapur APMC,129.0,75.0,93.0,72.0%,38.7%
Gevrai APMC,500.0,363.0,219.0,37.7%,128.3%
Ghansawangi APMC,11.0,15.0,3.0,-26.7%,266.7%
Himalyatnagar APMC,43.0,61.0,9.0,-29.5%,377.8%
Hinganghat APMC,443.0,563.0,142.0,-21.3%,212.0%
Hingoli APMC,83.0,74.0,59.0,12.2%,40.7%
Hingoli(Kanegoan Naka) APMC,104.0,50.0,8.0,108.0%,1200.0%
Indapur(Bhigwan) APMC,-,-,84.0,-,-
