,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2023",,
Market,"Arrivals January, 2023 (Metric Tonnes)","Arrivals December, 2022 (Metric Tonnes)","Arrivals January, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,39.0,248.0,338.0,-84.3%,-88.5%
Ahmednagar APMC,132.0,42.0,681.0,214.3%,-80.6%
Ahmedpur APMC,7.0,-,-,-,-
Akhadabalapur APMC,4.0,2.0,4.0,100.0%,-
Akola APMC,94.0,141.0,272.0,-33.3%,-65.4%
Amalner APMC,35.0,74.0,225.0,-52.7%,-84.4%
Amarawati APMC,38.0,75.0,314.0,-49.3%,-87.9%
Ambad (Vadigodri) APMC,39.0,53.0,45.0,-26.4%,-13.3%
Anajngaon APMC,12.0,22.0,21.0,-45.5%,-42.9%
Ashti(Jalna) APMC,1.0,2.0,11.0,-50.0%,-90.9%
Ashti(Karanja) APMC,6.0,-,-,-,-
Aurad Shahajani APMC,-,-,1.0,-,-
Ausa APMC,2.0,5.0,1.0,-60.0%,100.0%
Balapur APMC,4.0,5.0,42.0,-20.0%,-90.5%
Baramati APMC,121.0,199.0,551.0,-39.2%,-78.0%
Barshi APMC,7.0,13.0,28.0,-46.1%,-75.0%
Barshi(Vairag) APMC,4.0,3.0,10.0,33.3%,-60.0%
Beed APMC,28.0,46.0,88.0,-39.1%,-68.2%
Bhandara APMC,-,1.0,11.0,-,-
Bhokar APMC,-,2.0,7.0,-,-
Bhokardan APMC,33.0,34.0,38.0,-2.9%,-13.2%
Bhokardan(Pimpalgaon Renu) APMC,19.0,9.0,30.0,111.1%,-36.7%
Bori APMC,-,-,11.0,-,-
Chalisgaon APMC,35.0,39.0,114.0,-10.3%,-69.3%
Chandur Bazar APMC,9.0,22.0,152.0,-59.1%,-94.1%
Chattrapati Sambhajinagar APMC,32.0,61.0,64.0,-47.5%,-50.0%
Chikali APMC,49.0,83.0,225.0,-41.0%,-78.2%
Chopada APMC,4.0,6.0,31.0,-33.3%,-87.1%
Deoulgaon Raja APMC,17.0,16.0,33.0,6.2%,-48.5%
Devala APMC,2.0,1.0,18.0,100.0%,-88.9%
Dhamngaon-Railway APMC,-,-,25.0,-,-
Dharangaon APMC,5.0,2.0,7.0,150.0%,-28.6%
Dhule APMC,66.0,81.0,152.0,-18.5%,-56.6%
Digras APMC,4.0,9.0,1.0,-55.6%,300.0%
Dondaicha APMC,123.0,126.0,374.0,-2.4%,-67.1%
Dondaicha(Sindhkheda) APMC,1.0,-,-,-,-
Dound APMC,21.0,24.0,58.0,-12.5%,-63.8%
Gangakhed APMC,26.0,61.0,74.0,-57.4%,-64.9%
Gangapur APMC,14.0,37.0,70.0,-62.2%,-80.0%
Gevrai APMC,61.0,53.0,260.0,15.1%,-76.5%
Ghansawangi APMC,-,3.0,4.0,-,-
Hinganghat APMC,38.0,136.0,165.0,-72.1%,-77.0%
Hingoli APMC,16.0,29.0,55.0,-44.8%,-70.9%
Hingoli(Kanegoan Naka) APMC,-,-,131.0,-,-
Indapur APMC,5.0,2.0,-,150.0%,-
Indapur(Bhigwan) APMC,-,9.0,-,-,-
Indapur(Nimgaon Ketki) APMC,-,2.0,-,-,-
Jafrabad APMC,-,-,21.0,-,-
Jalana APMC,275.0,447.0,821.0,-38.5%,-66.5%
Jalgaon APMC,-,2.0,3.0,-,-
Jalgaon Jamod(Aasalgaon) APMC,34.0,-,-,-,-
Jamkhed APMC,48.0,42.0,106.0,14.3%,-54.7%
Jawala-Bajar APMC,-,-,53.0,-,-
Kada APMC,4.0,-,19.0,-,-79.0%
Kaij APMC,16.0,18.0,30.0,-11.1%,-46.7%
Kalamb (Dharashiv) APMC,17.0,15.0,51.0,13.3%,-66.7%
Kalvan APMC,-,4.0,-,-,-
Kandhar APMC,15.0,9.0,-,66.7%,-
Kannad APMC,29.0,38.0,28.0,-23.7%,3.6%
Karanja APMC,124.0,217.0,317.0,-42.9%,-60.9%
Karjat(Raigad) APMC,32.0,41.0,72.0,-21.9%,-55.6%
Karmala APMC,3.0,5.0,25.0,-40.0%,-88.0%
Katol APMC,12.0,26.0,17.0,-53.9%,-29.4%
Khamgaon APMC,49.0,135.0,462.0,-63.7%,-89.4%
Kille Dharur APMC,1.0,2.0,16.0,-50.0%,-93.8%
Kopargaon APMC,63.0,69.0,90.0,-8.7%,-30.0%
Kurdwadi APMC,-,1.0,-,-,-
Kurdwadi(Modnimb) APMC,3.0,5.0,6.0,-40.0%,-50.0%
Lasalgaon APMC,111.0,126.0,114.0,-11.9%,-2.6%
Lasalgaon(Niphad) APMC,33.0,67.0,54.0,-50.8%,-38.9%
Lasalgaon(Vinchur) APMC,19.0,25.0,3.0,-24.0%,533.3%
Lasur Station APMC,185.0,253.0,296.0,-26.9%,-37.5%
Latur(Murud) APMC,-,-,43.0,-,-
Loha APMC,8.0,9.0,5.0,-11.1%,60.0%
Lonar APMC,99.0,145.0,275.0,-31.7%,-64.0%
Majalgaon APMC,11.0,12.0,63.0,-8.3%,-82.5%
Malegaon APMC,61.0,48.0,152.0,27.1%,-59.9%
Malkapur APMC,115.0,229.0,396.0,-49.8%,-71.0%
Mangal Wedha APMC,3.0,3.0,1.0,-,200.0%
Mangrulpeer APMC,34.0,50.0,39.0,-32.0%,-12.8%
Manmad APMC,6.0,14.0,30.0,-57.1%,-80.0%
Manora APMC,2.0,-,-,-,-
Mantha APMC,1.0,17.0,30.0,-94.1%,-96.7%
Mehekar APMC,40.0,53.0,135.0,-24.5%,-70.4%
Morshi APMC,40.0,59.0,134.0,-32.2%,-70.2%
Mudkhed APMC,1.0,-,-,-,-
Mumbai APMC,9616.0,9194.0,12015.0,4.6%,-20.0%
Murtizapur APMC,5.0,27.0,82.0,-81.5%,-93.9%
